"","X.1","X","id","tract","geo.id","sq.miles","area","median.income","total.income","income.quantile","total.pop","white.pop","white.ratio","bmp.installations","bmp.per.pop","bmp.per.sqmi","volume","impervious"
"93",93,93,93,2502,11001002502,0.23337814,604446.59456458,32326,156512610,2,4913,1114,0.226745369428048,40,0.00725426187885383,171.395658565108,556.38,NA
"94",94,94,94,2600,11001002600,0.85570068,2216254.58992257,74993.5,120160981,4,4365,13,0.00297823596792669,64,0.0308582449373192,74.7925080531664,19698.7,NA
"95",95,95,95,2701,11001002701,0.17384986,450269.058831022,42690,184313228,3,2249,94,0.0417963539350823,7,0.00140308679094007,40.2646283407994,22989.53,NA
"96",96,96,96,7601,11001007601,0.48767122,1263062.67183,29757,72209610,2,2905,27,0.00929432013769363,44,0.0102683780630105,90.2247214834617,4606.38,NA
"97",97,97,97,7603,11001007603,0.4735655,1226529.02588878,41564,96251269,3,1851,17,0.00918422474338196,29,0.00732138348901792,61.2375690374404,1189,NA
"98",98,98,98,7604,11001007604,0.52836991,1368471.77761395,36500.5,80847329,2,2243,63,0.0280873829692376,51,0.0141903171953255,96.5232861197565,2339.46,NA
"99",99,99,99,7605,11001007605,0.17519328,453748.512541281,29971,56942326,2,2795,24,0.00858676207513417,26,0.00769230769230769,148.407518827206,2813.7,44557
"100",100,100,100,7703,11001007703,0.39043826,1011230.45369159,24882,66007045,1,1296,11,0.00848765432098765,34,0.00666013712047013,87.0816297562642,2258.21,NA
"101",101,101,101,7707,11001007707,0.3254007,842783.952986726,28427.5,61842067,1,2836,13,0.00458392101551481,24,0.00626959247648903,73.7552193341932,0,NA
"102",102,102,102,7708,11001007708,0.33062668,856319.157832923,25245,34921404,1,2621,1672,0.637924456314384,7,0.00287120590648072,21.171915103766,15506.24,NA
"103",103,103,103,7709,11001007709,0.35698661,924591.06243485,30352,30343665,2,2324,1132,0.487091222030981,12,0.00608519269776876,33.6147061650296,34945.11,NA
"104",104,104,104,7803,11001007803,0.38712243,1002642.48252286,27686,52825855,1,3187,725,0.227486664574835,16,0.00493218249075216,41.3305940448865,68837.45,NA
"105",105,105,105,7804,11001007804,0.3273591,847856.187174038,24947,42241373,1,4365,129,0.029553264604811,45,0.0133689839572193,137.463721032957,23373.83,NA
"106",106,106,106,7806,11001007806,0.26597939,688883.467072914,27394,35524039,1,2425,39,0.0160824742268041,27,0.0116429495472186,101.511624641293,607.49,NA
"107",107,107,107,2702,11001002702,0.19519457,505551.614962995,48746.5,223639542,3,2451,25,0.0101999184006528,11,0.00219736316420296,56.3540266514586,1758.93,NA
"108",108,108,108,2801,11001002801,0.06636841,171893.394000542,28873,94212705,2,1969,237,0.120365667851701,3,0.000832870627429206,45.2022279876827,8971.26,NA
"109",109,109,109,2802,11001002802,0.08803683,228014.332339413,31154.5,113498858,2,2340,598,0.255555555555556,25,0.00618352708384863,283.972060329751,1315.68,NA
"110",110,110,110,2900,11001002900,0.11673127,302332.611458249,37310,137466819,2,3813,778,0.204038814581694,9,0.00242000537778973,77.1001634780466,9955.35,NA
"111",111,111,111,3000,11001003000,0.08182078,211914.857479168,42954,108032013,3,5309,675,0.127142588058015,9,0.00277178934400986,109.996506999811,5243.69,NA
"112",112,112,112,3100,11001003100,0.11381374,294776.24488345,35170,96124283,2,4648,398,0.0856282271944923,24,0.00870511425462459,210.870849161094,5723.39,NA
"113",113,113,113,3200,11001003200,0.17175932,444854.607448458,31551,119332154,2,3442,432,0.125508425334108,24,0.00499687695190506,139.730408806928,4.69,NA
"114",114,114,114,9811,11001009811,0.18028749,466942.46731644,18977,41515657,1,3087,285,0.0923226433430515,33,0.0076869322152341,183.040986371267,8.49,NA
"115",115,115,115,9901,11001009901,0.81156951,2101955.37479996,49969,68391309,3,1189,221,0.185870479394449,77,0.0348101265822785,94.8778866766446,4618.16,NA
"116",116,116,116,9902,11001009902,0.499799,1294473.45459597,37244,57137569,2,2974,474,0.159381304640215,18,0.00626740947075209,36.0144778200837,4468.7,NA
"117",117,117,117,9903,11001009903,0.14510729,375826.167714381,33430,35118730,2,2036,1022,0.50196463654224,21,0.0116086235489221,144.72050301539,6774.25,NA
"118",118,118,118,9904,11001009904,0.16400957,424782.841698579,27487,35494438.76,1,3618,793,0.2191818684356,23,0.0103837471783296,140.235719171753,1260.58,NA
"119",119,119,119,9905,11001009905,0.16657246,431420.693863826,27355,36150350,1,2554,613,0.240015661707126,25,0.00916086478563576,150.084833951543,26035.21,NA
"120",120,120,120,9906,11001009906,0.09573271,247946.582283868,26833,21931724,1,5973,1493,0.249958144985769,53,0.0419303797468354,553.624774645991,1984.96,NA
"121",121,121,121,9907,11001009907,0.18027327,466905.635699033,22424,31452975.28,1,2166,916,0.422899353647276,11,0.00394406597346719,61.0184748964724,486.32,NA
"122",122,122,122,10100,11001010100,0.22382153,579695.106431479,64721,122209400,3,5233,2828,0.540416587043761,49,0.0192913385826772,218.924426081798,297.6,56118
"123",123,123,123,10200,11001010200,0.53519188,1386140.60622477,62109,103762693,3,4355,140,0.0321469575200918,53,0.0240036231884058,99.0299030695309,59081.2,NA
"124",124,124,124,10300,11001010300,0.41925902,1085875.88465221,36564.5,76672409,2,4044,244,0.0603363006923838,76,0.0248609748119071,181.272188252503,9334.4,NA
